sku,nombre,bodega_codigo,cantidad,lote,ubicacion
AL337FSP0007,BOTE ALCOHOLERO 33.7 BFS KYSER ROJO/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AL337FSP0008,BOTE ALCOHOLERO 33.7 BFS KYSER AZUL/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AL337FSP0009,BOTE ALCOHOLERO 33.7 BFS PIA/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AL337FSP0010,BOTE ALCOHOLERO 33.7 BFS ASLAN/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AL348FSP0001,BOTE ALCOHOLERO 34.8 BFS SB/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AL348FSP0002,BOTE ALCOHOLERO 34.8 BFS SQ ACON 314/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AL348FSP0003,BOTE ALCOHOLERO 34.8 BFS BOND PLUS/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AL348FSP0004,BOTE ALCOHOLERO 34.8 BFS MDN/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AL360FSP0001,BOTE ALCOHOLERO 36 BFS SB/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AL360FSP0002,BOTE ALCOHOLERO 36 BFS PEGAFULL/SB,Texcoco-02,1,LOTE-2026-215,ALMACEN PT
PI404X414TPP0001,BOTE PINTURA 404X414 BTP SB/SB,Texcoco-02,1,LOTE-2026-215,ALMACEN PT
PI404X414TPD0001,BOTE PINTURA 404X414 BTP SB/DOR,Texcoco-02,1,LOTE-2026-215,ALMACEN PT
FS610X402X9070001,BOTE F-STYLE 610X402X907 SB/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
FS610X402X9070002,BOTE F-STYLE 610X402X907 SB/DOR,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
FS610X402X10050001,BOTE F-STYLE 610X402X1005 SB/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
