sku,nombre,tipo,unidad_medida,moneda_costo,moneda_venta
FS610X402X9070002,BOTE F-STYLE 610X402X907 SB/DOR,PT,PZA,MXN,MXN
FS610X402X10050001,BOTE F-STYLE 610X402X1005 SB/SB,PT,PZA,MXN,MXN
MP00001,ALAMBRE DE COBREØ 1.38 MM DESNUDO SUAVE,MP,KG,MXN,MXN
MP00002,ALAMBRE DE COBRE Ø 1.5 MM DESNUDO SUAVE,MP,KG,MXN,MXN
MP00003,FLEJE POLIESTER STRAPEX DE 1/2 X 0.25,MP,PZA,MXN,MXN
MP00004,GRAPA PUNTEADA PARA FLEJE DE 1/2,MP,PZA,MXN,MXN
MP00005,"PELICULA STRETCH 18""",MP,PZA,MXN,MXN
MP00006,BZRNIZ DORADO P/COSTURA PPG2360302,MP,L,MXN,MXN
MP00007,LAMINA CORRUGADO SENCILLO KRAFT 21 ECT. 120X100 CM,MP,PZA,MXN,MXN
MP00008,ENTREPAÃ‘O KRAFT 2DA 120X100 CM,MP,PZA,MXN,MXN
MP00009,TARIMA MADERA 2DA 120X100 CM,MP,PZA,MXN,MXN
MP00010,MARCO MADERA 2DA 120X100 CM,MP,PZA,MXN,MXN
HLTK0001,AEROSOL 211X804 N DOMESTICO H24/DOR,HL,KG,USD,MXN
HLGC0001,AEROSOL 211X804 N DOMESTICO H24/DOR,HL,KG,USD,MXN
HLTK0002,AEROSOL 211X804 N CITRONOX H24/DOR,HL,KG,USD,MXN
HLGC0002,AEROSOL 211X804 N CITRONOX H24/DOR,HL,KG,USD,MXN
HLTK0003,AEROSOL 211X804 N POD TOTAL H24/DOR,HL,KG,USD,MXN
HLGC0003,AEROSOL 211X804 N POD TOTAL H24/DOR,HL,KG,USD,MXN
HLTK0004,AEROSOL 211X804 N POD FULMINANTE H24/DOR,HL,KG,USD,MXN
HLGC0004,AEROSOL 211X804 N POD FULMINANTE H24/DOR,HL,KG,USD,MXN
HLTK0005,AEROSOL 211X804 N CASA Y JARD H24/DOR,HL,KG,USD,MXN
HLGC0005,AEROSOL 211X804 N CASA Y JARD H24/DOR,HL,KG,USD,MXN
HLTK0006,AEROSOL 211X804 N CASA Y JARD LAV H24/DOR,HL,KG,USD,MXN
HLGC0006,AEROSOL 211X804 N CASA Y JARD LAV H24/DOR,HL,KG,USD,MXN
HLTK0007,AEROSOL 211X804 N MATA CUCA H24/DOR,HL,KG,USD,MXN
HLGC0007,AEROSOL 211X804 N MATA CUCA H24/DOR,HL,KG,USD,MXN
HLIL0001,AEROSOL 202X509 N ENCENDEDORES/SB,HL,KG,USD,MXN
HLIL0002,AEROSOL 202X314 N LT-40/SB,HL,KG,USD,MXN
HLIL0003,AEROSOL 211X1200 N MAXIJUMBO/SB,HL,KG,USD,MXN
HLIL0004,AEROSOL 211X604 N E-DUSTER/SB,HL,KG,USD,MXN
HLIL0005,AEROSOL 211X604 N ESPUMA LIMP/SB,HL,KG,USD,MXN
HLIL0006,AEROSOL 211X604 R ESTUFAS Y SOP/SB,HL,KG,USD,MXN
HLIL0007,AEROSOL 211X604 R CARTUCHO GAS/SB,HL,KG,USD,MXN
HLIL0008,AEROSOL 211X708 N CART PLOMER/SB,HL,KG,USD,MXN
HLIL0009,AEROSOL 211X708 N CARUCHO GAS/SB,HL,KG,USD,MXN
HLIL0010,AEROSOL 211X708 N ELEGATE/SB,HL,KG,USD,MXN
HLIL0011,AEROSOL 211X708 N AIRE REMOVEDOR/SB,HL,KG,USD,MXN
HLIL0012,AEROSOL 211X708 N GAS SOPLETES/SB,HL,KG,USD,MXN
HLIL0013,AEROSOL 211X708 N OFFICE DEPOT/SB,HL,KG,USD,MXN
HLIL0014,AEROSOL 211X708 N TORNADO/SB,HL,KG,USD,MXN
HLIL0015,ALCOHOLERO 32.5 BFS FERROX/SB,HL,KG,USD,MXN
HLIL0016,ALCOHOLERO 32.5 BFS LOBO/SB,HL,KG,USD,MXN
HLIL0017,ALCOHOLERO 32.5 BFS BUFALO/SB,HL,KG,USD,MXN
HLIL0018,ALCOHOLERO 32.5 BFS TERMEX BCO/SB,HL,KG,USD,MXN
HLIL0019,ALCOHOLERO 32.5 BFS TERMEX GRIS/SB,HL,KG,USD,MXN
HLIL0020,ALCOHOLERO 32.7 BFS IRIS/SB,HL,KG,USD,MXN
HLIL0021,ALCOHOLERO 32.7 BFS SOLDER/SB,HL,KG,USD,MXN
HLIL0022,ALCOHOLERO 33.7 BFS NEPRO/SB,HL,KG,USD,MXN
HLIL0023,ALCOHOLERO 33.7 BFS REACTOR/SB,HL,KG,USD,MXN
HLIL0024,ALCOHOLERO 33.7 BFS BIANCHETI/SB,HL,KG,USD,MXN
HLIL0025,ALCOHOLERO 33.7 BFS DUSEL/SB,HL,KG,USD,MXN
HLIL0026,ALCOHOLERO 33.7 BFS KYSER AMARILLO/SB,HL,KG,USD,MXN
HLIL0027,ALCOHOLERO 33.7 BFS KYSER ROJO/SB,HL,KG,USD,MXN
HLIL0028,ALCOHOLERO 33.7 BFS KYSER AZUL/SB,HL,KG,USD,MXN
HLIL0029,ALCOHOLERO 33.7 BFS PIA/SB,HL,KG,USD,MXN
HLIL0030,ALCOHOLERO 33.7 BFS ASLAN/SB,HL,KG,USD,MXN
HLIL0031,ALCOHOLERO 34.8 BFS SQ ACON 314/SB,HL,KG,USD,MXN
HLIL0032,ALCOHOLERO 34.8 BFS BOND PLUS/SB,HL,KG,USD,MXN
HLIL0033,ALCOHOLERO 34.8 BFS MDN/SB,HL,KG,USD,MXN
HLIL0034,ALCOHOLERO 36 BFS PEGAFULL/SB,HL,KG,USD,MXN
CC00001,AEROSOL 211X804 N DOMESTICO H24/DOR,CC,PZA,MXN,MXN
CC00002,AEROSOL 211X804 N CITRONOX H24/DOR,CC,PZA,MXN,MXN
CC00003,AEROSOL 211X804 N POD TOTAL H24/DOR,CC,PZA,MXN,MXN
CC00004,AEROSOL 211X804 N POD FULMINANTE H24/DOR,CC,PZA,MXN,MXN
CC00005,AEROSOL 211X804 N CASA Y JARD H24/DOR,CC,PZA,MXN,MXN
CC00006,AEROSOL 211X804 N CASA Y JARD LAV H24/DOR,CC,PZA,MXN,MXN
CC00007,AEROSOL 211X804 N MATA CUCA H24/DOR,CC,PZA,MXN,MXN
CC00008,AEROSOL 202X509 N ENCENDEDORES/SB,CC,PZA,MXN,MXN
CC00009,AEROSOL 202X314 N LT-40/SB,CC,PZA,MXN,MXN
CC00010,AEROSOL 211X1200 N MAXIJUMBO/SB,CC,PZA,MXN,MXN
CC00011,AEROSOL 211X604 N E-DUSTER/SB,CC,PZA,MXN,MXN
CC00012,AEROSOL 211X604 N ESPUMA LIMP/SB,CC,PZA,MXN,MXN
CC00013,AEROSOL 211X604 R ESTUFAS Y SOP/SB,CC,PZA,MXN,MXN
CC00014,AEROSOL 211X604 R CARTUCHO GAS/SB,CC,PZA,MXN,MXN
CC00015,AEROSOL 211X708 N CART PLOMER/SB,CC,PZA,MXN,MXN
CC00016,AEROSOL 211X708 N CARUCHO GAS/SB,CC,PZA,MXN,MXN
CC00017,AEROSOL 211X708 N ELEGATE/SB,CC,PZA,MXN,MXN
CC00018,AEROSOL 211X708 N AIRE REMOVEDOR/SB,CC,PZA,MXN,MXN
CC00019,AEROSOL 211X708 N GAS SOPLETES/SB,CC,PZA,MXN,MXN
CC00020,AEROSOL 211X708 N OFFICE DEPOT/SB,CC,PZA,MXN,MXN
CC00021,AEROSOL 211X708 N TORNADO/SB,CC,PZA,MXN,MXN
CC00022,ALCOHOLERO 32.5 BFS FERROX/SB,CC,PZA,MXN,MXN
CC00023,ALCOHOLERO 32.5 BFS LOBO/SB,CC,PZA,MXN,MXN
CC00024,ALCOHOLERO 32.5 BFS BUFALO/SB,CC,PZA,MXN,MXN
CC00025,ALCOHOLERO 32.5 BFS TERMEX BCO/SB,CC,PZA,MXN,MXN
CC00026,ALCOHOLERO 32.5 BFS TERMEX GRIS/SB,CC,PZA,MXN,MXN
CC00027,ALCOHOLERO 32.7 BFS IRIS/SB,CC,PZA,MXN,MXN
CC00028,ALCOHOLERO 32.7 BFS SOLDER/SB,CC,PZA,MXN,MXN
CC00029,ALCOHOLERO 33.7 BFS NEPRO/SB,CC,PZA,MXN,MXN
CC00030,ALCOHOLERO 33.7 BFS REACTOR/SB,CC,PZA,MXN,MXN
CC00031,ALCOHOLERO 33.7 BFS BIANCHETI/SB,CC,PZA,MXN,MXN
CC00032,ALCOHOLERO 33.7 BFS DUSEL/SB,CC,PZA,MXN,MXN
CC00033,ALCOHOLERO 33.7 BFS KYSER AMARILLO/SB,CC,PZA,MXN,MXN
CC00034,ALCOHOLERO 33.7 BFS KYSER ROJO/SB,CC,PZA,MXN,MXN
CC00035,ALCOHOLERO 33.7 BFS KYSER AZUL/SB,CC,PZA,MXN,MXN
CC00036,ALCOHOLERO 33.7 BFS PIA/SB,CC,PZA,MXN,MXN
CC00037,ALCOHOLERO 33.7 BFS ASLAN/SB,CC,PZA,MXN,MXN
CC00038,ALCOHOLERO 34.8 BFS SQ ACON 314/SB,CC,PZA,MXN,MXN
CC00039,ALCOHOLERO 34.8 BFS BOND PLUS/SB,CC,PZA,MXN,MXN
CC00040,ALCOHOLERO 34.8 BFS MDN/SB,CC,PZA,MXN,MXN
CC00041,ALCOHOLERO 36 BFS PEGAFULL/SB,CC,PZA,MXN,MXN
CC00042,AEROSOL 211X708 N SB/SB 2P,CC,PZA,MXN,MXN
CC00043,AEROSOL 211X604 N SB/SB 2P,CC,PZA,MXN,MXN
CC00044,AEROSOL 202X509 N SB/SB 2P,CC,PZA,MXN,MXN
CC00045,AEROSOL 202X509 N SB/DOR 2P,CC,PZA,MXN,MXN
CC00046,AEROSOL 202X314 N SB/SB 2P,CC,PZA,MXN,MXN
CC00047,AEROSOL 211X1200 N SB/SB 2P,CC,PZA,MXN,MXN
CC00048,AEROSOL 211X604 R SB/SB 2P,CC,PZA,MXN,MXN
CC00049,AEROSOL 211X708 N SB/SB 2Q,CC,PZA,MXN,MXN
CC00050,ALCOHOLERO 32.5 BFS SB/SB,CC,PZA,MXN,MXN
CC00051,ALCOHOLERO 32.5 BFS SB/DOR,CC,PZA,MXN,MXN
CC00052,ALCOHOLERO 32.7 BFS SB/SB,CC,PZA,MXN,MXN
CC00053,ALCOHOLERO 33.7 BFS SB/SB,CC,PZA,MXN,MXN
CC00054,ALCOHOLERO 34.8 BFS SB/SB,CC,PZA,MXN,MXN
CC00055,ALCOHOLERO 36 BFS SB/SB,CC,PZA,MXN,MXN
HCALMM0001,ETP #20 118# 28 1/8 X 35.433 T3 CA,HC,KG,USD,MXN
HCALFD0001,ETP #25 118# 28 1/8 X 35.433 T3 CA,HC,KG,USD,MXN
HCALMM0002,ETP #20 118# 29 1/4 X 35.433 T3 CA,HC,KG,USD,MXN
HCALFD0002,ETP #25 118# 29 1/4 X 35.433 T3 CA,HC,KG,USD,MXN
HCALMM0003,ETP #20 128# 28 1/8 X 35.433 T3 CA,HC,KG,USD,MXN
HCALFD0003,ETP #25 128# 28 1/8 X 35.433 T3 CA,HC,KG,USD,MXN
HCAEMM0001,ETP #20 #72 32 1/4 X 40.826 T4 CA,HC,KG,USD,MXN
HCAEFD0001,ETP #25 #72 32 1/4 X 40.826 T4 CA,HC,KG,USD,MXN
HCAEMM0002,ETP #20 #72 34 9/16 X 32.750 T4 CA,HC,KG,USD,MXN
HCAEFD0002,ETP #25 #72 34 9/16 X 32.750 T4 CA,HC,KG,USD,MXN
HCAEMM0003,ETP #20 #80 32 1/4 X 40.826 T3 CA,HC,KG,USD,MXN
HCAEFD0003,ETP #25 #80 32 1/4 X 40.826 T33 CA,HC,KG,USD,MXN
